Countries;Number of establishments (2018);Average length of stay (2018)
AFGHANISTAN;0;0.00
ALBANIA;0;0.00
ALGERIA;1.368;1.67
AMERICAN SAMOA;0;0.00
ANDORRA;239;2.38
ANGOLA;238;0.00
ANGUILLA;0;0.00
ANTIGUA AND BARBUDA;0;0.00
ARGENTINA;15.613;2.36
ARMENIA;1.631;11.00
ARUBA;0;0.00
AUSTRALIA;5.256;0.00
AUSTRIA;12.003;3.34
AZERBAIJAN;596;1.72
BAHAMAS;310;0.00
BAHRAIN;120;1.95
BANGLADESH;0;0.00
BARBADOS;0;0.00
BELARUS;604;2.15
BELGIUM;4.170;0.00
BELIZE;890;6.28
BENIN;1.193;5.51
BERMUDA;41;0.00
BHUTAN;136;0.00
BOLIVIA, PLURINATIONAL STATE OF;1.476;0.00
BONAIRE;0;0.00
BOSNIA AND HERZEGOVINA;668;0.00
BOTSWANA;933;1.80
BRAZIL;0;0.00
BRITISH VIRGIN ISLANDS;0;0.00
BRUNEI DARUSSALAM;89;2.30
BULGARIA;2.102;3.47
BURKINA FASO;728;1.98
BURUNDI;0;0.00
CABO VERDE;284;5.90
CAMBODIA;3.083;0.00
CAMEROON;2.275;1.87
CANADA;0;0.00
CAYMAN ISLANDS;0;6.07
CENTRAL AFRICAN REPUBLIC;91;1.91
CHAD;0;0.00
CHILE;8.039;2.03
CHINA;8.962;0.00
COLOMBIA;15.530;0.00
COMOROS;72;7.00
CONGO;976;2.55
CONGO, DEMOCRATIC REPUBLIC OF THE;0;0.00
COOK ISLANDS;0;0.00
COSTA RICA;3.748;11.70
COTE D´IVOIRE;2.610;3.00
CROATIA;1.065;3.39
CUBA;358;0.00
CURAÇAO;0;7.94
CYPRUS;793;5.40
CZECH REPUBLIC;6.277;2.61
DENMARK;556;0.00
DJIBOUTI;32;0.00
DOMINICA;55;0.00
DOMINICAN REPUBLIC;830;8.37
ECUADOR;4.130;0.00
EGYPT;1.243;11.62
EL SALVADOR;578;7.50
EQUATORIAL GUINEA;0;0.00
ERITREA;0;0.00
ESTONIA;418;1.77
ESWATINI;157;0.96
ETHIOPIA;1.216;0.00
FIJI;0;0.00
FINLAND;788;1.74
FRANCE;17.960;1.77
FRENCH GUIANA;29;2.60
FRENCH POLYNESIA;328;13.80
GABON;0;0.00
GAMBIA;47;0.00
GEORGIA;1.639;0.00
GERMANY;31.842;2.10
GHANA;0;0.00
GREECE;9.873;4.29
GRENADA;93;9.12
GUADELOUPE;0;0.00
GUAM;0;0.00
GUATEMALA;3.315;0.00
GUINEA;0;0.00
GUINEA-BISSAU;0;0.00
GUYANA;0;0.00
HAITI;0;0.00
HONDURAS;0;0.00
HONG KONG, CHINA;1.798;0.00
HUNGARY;2.357;2.37
ICELAND;420;1.64
INDIA;102.917;0.00
INDONESIA;28.230;1.98
IRAN, ISLAMIC REPUBLIC OF;4.776;0.00
IRAQ;0;0.00
IRELAND;1.992;0.00
ISRAEL;419;2.40
ITALY;32.896;2.89
JAMAICA;1.084;6.20
JAPAN;53.720;1.33
JORDAN;565;0.00
KAZAKHSTAN;3.322;0.00
KENYA;0;0.00
KIRIBATI;31;0.00
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;0;0.00
KOREA, REPUBLIC OF;24.654;0.00
KUWAIT;0;0.00
KYRGYZSTAN;194;0.00
LAO PEOPLE´S DEMOCRATIC REPUBLIC;3.102;0.00
LATVIA;318;1.77
LEBANON;582;3.18
LESOTHO;177;0.00
LIBERIA;0;0.00
LIBYA;0;0.00
LIECHTENSTEIN;32;1.86
LITHUANIA;387;0.00
LUXEMBOURG;227;1.90
MACAO, CHINA;116;1.52
MADAGASCAR;3.078;0.00
MALAWI;0;10.80
MALAYSIA;4.750;0.00
MALDIVES;787;6.40
MALI;0;0.00
MALTA;234;6.10
MARSHALL ISLANDS;0;0.00
MARTINIQUE;162;7.00
MAURITANIA;0;0.00
MAURITIUS;113;0.00
MEXICO;22.560;3.44
MICRONESIA, FEDERATED STATES OF;0;0.00
MOLDOVA, REPUBLIC OF;143;2.44
MONACO;12;2.46
MONGOLIA;374;0.00
MONTENEGRO;345;0.00
MONTSERRAT;0;0.00
MOROCCO;4.055;2.79
MOZAMBIQUE;2.188;1.85
MYANMAR;1.704;0.00
NAMIBIA;0;0.00
NAURU;0;0.00
NEPAL;1.254;12.40
NETHERLANDS;3.760;1.74
NEW CALEDONIA;0;0.00
NEW ZEALAND;2.651;1.90
NICARAGUA;1.114;2.00
NIGER;176;2.00
NIGERIA;0;0.00
NIUE;0;0.00
NORTH MACEDONIA;302;2.82
NORTHERN MARIANA ISLANDS;53;0.00
NORWAY;1.031;1.63
OMAN;412;0.00
PAKISTAN;0;0.00
PALAU;0;0.00
PANAMA;871;3.70
PAPUA NEW GUINEA;0;0.00
PARAGUAY;970;3.50
PERU;22.115;1.33
PHILIPPINES;2.018;1.97
POLAND;4.179;1.97
PORTUGAL;6.866;2.73
PUERTO RICO;131;3.37
QATAR;124;3.78
REUNION;74;9.00
ROMANIA;7.656;2.20
RUSSIAN FEDERATION;21.300;0.00
RWANDA;0;0.00
SABA;0;0.00
SAINT KITTS AND NEVIS;0;0.00
SAINT LUCIA;172;8.36
SAINT VINCENT AND THE GRENADINES;0;0.00
SAMOA;0;0.00
SAN MARINO;22;1.81
SAO TOME AND PRINCIPE;70;0.00
SAUDI ARABIA;7.292;0.00
SENEGAL;0;0.00
SERBIA;779;2.30
SERBIA AND MONTENEGRO;0;0.00
SEYCHELLES;658;10.40
SIERRA LEONE;116;7.00
SINGAPORE;410;3.33
SINT EUSTATIUS;0;0.00
SINT MAARTEN (DUTCH PART);0;0.00
SLOVAKIA;1.599;2.77
SLOVENIA;1.231;2.65
SOLOMON ISLANDS;0;0.00
SOMALIA;0;0.00
SOUTH AFRICA;3.003;0.00
SOUTH SUDAN;0;0.00
SPAIN;19.255;3.23
SRI LANKA;2.312;10.80
STATE OF PALESTINE;130;2.78
SUDAN;0;0.00
SURINAME;0;0.00
SWEDEN;2.057;0.00
SWITZERLAND;4.765;2.01
SYRIAN ARAB REPUBLIC;0;0.00
TAIWAN PROVINCE OF CHINA;3.482;0.00
TAJIKISTAN;189;0.00
TANZANIA, UNITED REPUBLIC OF;0;0.00
THAILAND;19.660;2.27
TIMOR-LESTE;18;0.00
TOGO;600;1.31
TONGA;0;0.00
TRINIDAD AND TOBAGO;590;0.00
TUNISIA;868;5.90
TURKEY;3.827;2.87
TURKMENISTAN;0;0.00
TURKS AND CAICOS ISLANDS;217;0.00
TUVALU;0;0.00
UGANDA;0;0.00
UKRAINE;2.777;2.52
UNITED ARAB EMIRATES;1.106;0.00
UNITED KINGDOM;0;0.00
UNITED STATES OF AMERICA;56.697;0.00
UNITED STATES VIRGIN ISLANDS;30;0.00
URUGUAY;319;4.60
UZBEKISTAN;916;4.00
VANUATU;0;0.00
VENEZUELA, BOLIVARIAN REPUBLIC OF;0;0.00
VIET NAM;28.000;0.00
YEMEN;0;0.00
ZAMBIA;1.139;4.00
ZIMBABWE;96;3.00
